Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
293.3898346,64.94251938,25.56898199,36.68294484,1.419999957,253.8000031,3.790092468,2.5
294.3910209,64.94251757,25.56895509,36.17525659,1.460000038,254.0,3.790092468,2.5
295.3869705,64.94251529,25.5689271,35.96303926,1.379999995,260.8999939,3.790092468,2.5
296.3907553,64.94251245,25.56889743,35.47756725,1.389999986,252.8999939,3.790092468,2.5
297.3917479,64.94250752,25.56886649,34.68533076,1.480000019,249.6000061,3.790092468,2.5
298.3914183,64.94250278,25.56883732,34.74660982,1.440000057,253.6000061,3.790092468,2.5
299.3910166,64.9424982,25.5688078,34.32357511,1.419999957,254.3999939,3.790092468,2.5
300.3905449,64.94249521,25.56877789,34.20150631,1.440000057,254.8000031,3.790092468,2.5
301.3895062,64.94249189,25.56874635,34.14816303,1.440000057,254.8000031,3.790092468,2.5
302.3892,64.9424895,25.56871683,34.087313,1.379999995,258.3999939,3.790092468,2.5
303.3876885,64.94248669,25.56868819,34.2057227,1.399999976,253.3000031,3.790092468,2.5
304.3908178,64.94248235,25.56865846,34.28958523,1.419999957,251.8999939,3.790092468,2.5
305.390321,64.94247858,25.56863041,34.10751787,1.399999976,255.5,3.790092468,2.5
306.3911274,64.94247471,25.56860089,33.79868061,1.440000057,255.6999969,3.790092468,2.5
307.3917398,64.94247085,25.56857314,33.69772884,1.379999995,255.3999939,3.790092468,2.5
308.3872877,64.94246669,25.56854302,33.36313456,1.399999976,252.5,3.790092468,2.5
309.3911138,64.94246309,25.56851352,33.3581916,1.409999967,254.3000031,3.790092468,2.5
310.3897574,64.94245858,25.5684848,32.80545714,1.429999948,252.0,3.790092468,2.5
311.3913331,64.94245479,25.5684551,32.66342906,1.460000038,252.8999939,3.790092468,2.5
312.3902992,64.94245299,25.56842365,32.4710491,1.440000057,258.2999878,3.790092468,2.5
313.3926442,64.94244914,25.5683951,32.39121563,1.389999986,254.1000061,3.790092468,2.5
314.3907791,64.94244476,25.56836664,32.24155743,1.419999957,246.8000031,3.790092468,2.5
315.3863763,64.94244181,25.56833726,31.98136603,1.409999967,247.6999969,3.790092468,2.5
316.3869974,64.9424366,25.56830786,31.91984195,1.460000038,243.3999939,3.790092468,2.5
